State federal district or territory,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
.Alabama,1.87,1.84,1.81,1.79,1.83,1.83,1.82,1.82,1.79,1.81
.Alaska,2.35,2.28,2.19,2.22,2.19,2.17,2.14,2.02,1.97,1.94
.Arizona,2.07,2.00,2.00,1.97,1.97,1.92,1.87,1.79,1.72,1.67
.Arkansas,2.00,2.00,1.97,1.94,1.97,1.98,1.95,1.91,1.88,1.86
.California,1.95,1.90,1.89,1.84,1.84,1.79,1.77,1.69,1.63,1.60
.Colorado,1.92,1.85,1.83,1.79,1.77,1.75,1.71,1.63,1.56,1.53
.Connecticut,1.72,1.71,1.66,1.63,1.63,1.61,1.63,1.59,1.57,1.54
.Delaware,1.94,1.90,1.85,1.79,1.79,1.81,1.78,1.75,1.72,1.71
.District of Columbia,1.65,1.64,1.61,1.53,1.52,1.48,1.49,1.42,1.35,1.31
.Florida,1.83,1.80,1.77,1.77,1.77,1.77,1.75,1.71,1.67,1.66
.Georgia,1.96,1.93,1.88,1.86,1.87,1.85,1.82,1.79,1.73,1.72
.Hawaii,2.15,2.11,2.10,2.08,2.00,1.97,1.94,1.89,1.85,1.85
.Idaho,2.24,2.15,2.19,2.13,2.15,2.13,2.07,2.01,1.90,1.92
.Illinois,1.88,1.84,1.82,1.79,1.81,1.81,1.78,1.73,1.69,1.65
.Indiana,1.97,1.95,1.93,1.92,1.93,1.93,1.90,1.87,1.85,1.82
.Iowa,2.01,1.97,1.99,2.00,2.02,2.01,1.99,1.94,1.90,1.90
.Kansas,2.16,2.09,2.12,2.04,2.05,2.05,2.00,1.93,1.92,1.87
.Kentucky,1.97,1.94,1.95,1.95,1.96,1.95,1.93,1.90,1.87,1.85
.Louisiana,1.95,1.91,1.92,1.93,1.96,1.96,1.93,1.88,1.86,1.86
.Maine,1.70,1.67,1.68,1.67,1.66,1.64,1.64,1.58,1.58,1.50
.Maryland,1.89,1.85,1.83,1.79,1.82,1.80,1.79,1.75,1.75,1.73
.Massachusetts,1.67,1.67,1.63,1.60,1.58,1.55,1.54,1.51,1.45,1.45
.Michigan,1.85,1.84,1.82,1.83,1.83,1.81,1.79,1.76,1.73,1.69
.Minnesota,1.96,1.95,1.94,1.94,1.94,1.93,1.93,1.87,1.83,1.79
.Mississippi,1.96,1.94,1.89,1.88,1.89,1.87,1.87,1.85,1.84,1.85
.Missouri,1.94,1.92,1.89,1.88,1.87,1.86,1.86,1.81,1.82,1.79
.Montana,1.99,1.96,1.96,1.97,1.95,1.96,1.89,1.80,1.73,1.66
.Nebraska,2.14,2.11,2.12,2.12,2.16,2.15,2.14,2.06,2.03,1.97
.Nevada,1.96,1.91,1.87,1.86,1.87,1.86,1.83,1.77,1.75,1.70
.New Hampshire,1.67,1.67,1.61,1.60,1.58,1.59,1.55,1.52,1.47,1.43
.New Jersey,1.90,1.88,1.85,1.81,1.81,1.80,1.79,1.76,1.78,1.77
.New Mexico,2.06,2.00,1.98,1.93,1.91,1.90,1.83,1.76,1.70,1.69
.New York,1.81,1.79,1.77,1.73,1.73,1.71,1.69,1.65,1.67,1.64
.North Carolina,1.91,1.86,1.84,1.82,1.83,1.82,1.79,1.77,1.73,1.71
.North Dakota,2.04,2.08,2.12,2.14,2.24,2.16,2.17,2.07,2.03,2.00
.Ohio,1.90,1.88,1.89,1.88,1.88,1.87,1.85,1.83,1.79,1.78
.Oklahoma,2.11,2.04,2.04,2.04,2.03,2.00,1.98,1.90,1.88,1.86
.Oregon,1.79,1.76,1.74,1.73,1.72,1.70,1.65,1.56,1.49,1.47
.Pennsylvania,1.81,1.80,1.78,1.75,1.76,1.74,1.72,1.69,1.67,1.65
.Rhode Island,1.63,1.60,1.59,1.57,1.56,1.58,1.54,1.51,1.49,1.43
.South Carolina,1.88,1.84,1.82,1.80,1.80,1.79,1.75,1.73,1.71,1.70
.South Dakota,2.27,2.25,2.27,2.27,2.27,2.27,2.26,2.23,2.15,2.08
.Tennessee,1.88,1.87,1.87,1.85,1.87,1.85,1.82,1.80,1.78,1.76
.Texas,2.16,2.07,2.08,2.07,2.09,2.07,2.02,1.92,1.87,1.85
.Utah,2.45,2.38,2.37,2.34,2.33,2.29,2.24,2.12,2.03,1.99
.Vermont,1.66,1.63,1.61,1.59,1.63,1.58,1.54,1.52,1.44,1.43
.Virginia,1.88,1.85,1.84,1.81,1.81,1.80,1.79,1.75,1.73,1.69
.Washington,1.91,1.89,1.88,1.84,1.85,1.82,1.81,1.71,1.64,1.60
.West Virginia,1.83,1.84,1.85,1.86,1.81,1.78,1.74,1.73,1.71,1.72
.Wisconsin,1.89,1.87,1.86,1.84,1.85,1.85,1.84,1.79,1.76,1.73
.Wyoming,2.04,1.98,1.99,1.99,1.99,2.01,1.93,1.86,1.79,1.80
