State federal district or territory,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2010,2,1.9,0.7,2.3,1.8,1.4,3.1,1.3,3.5,1.4,1.4,1.2,2,1.9,4.6,3.1,2.1,3.2,2.6,2.1,2.9,4.2,2.9,3.2,1.1,1.4,1.1,1.9,-0.2,1.3,2.5,1.7,5.1,3.4,7.1,2.1,1,3.4,3,2.8,2.6,2.2,3.5,2.8,1.7,3.2,2.6,1.6,4,2.5,-0.3
2011,1.2,2.6,1.7,2.4,1.2,1,-0.9,1.2,1.9,-0.6,1.4,1.6,-0.2,1.8,0.2,2.3,3.6,1.9,-3.4,-0.9,1.3,2.3,2,2.1,-0.3,-1,3.4,3.8,0.6,0.9,-0.8,0.1,1.3,0.9,9.6,2.9,2.6,4.4,1.1,-0.3,2.2,5,2.6,3.7,2.7,2.8,0.6,0.7,2.2,2,0.2
2012,0.6,3.3,2,0.8,2.5,2.1,0.3,-3,0,1.7,0.9,1.5,-0.1,1.8,0.5,3.4,0.4,1,1.9,-0.1,0.4,1.7,1.6,1.2,3.4,0.9,2,1,-0.2,1.4,2.5,0.6,3.1,0.1,19.5,1.6,3.5,-0.2,0.7,0.8,0.4,-0.9,3.5,6.2,0.7,0.4,0.7,2.7,-3.4,1.1,-5
2013,2.5,-4,0.8,1.9,2.3,2.1,1,0.7,-0.6,2.5,2,1.4,2.6,0.2,2.2,2.2,-0.3,1.2,-2.5,0.5,0.7,1.2,2.8,2.1,-1.1,1.8,1,3.9,0.7,1.4,0.8,1,1,2.7,0.9,2.1,1.8,-1,1.5,1.9,1.4,0.9,1.6,5.5,3.7,-0.3,0.4,2.3,1.3,2.2,0.5
2014,0.7,-1.3,1.4,0.8,2.8,4.7,0.6,1.2,1.6,2.7,2.3,0.8,2.7,1.2,0.4,0.4,1.8,1,1.9,0.2,0.8,2.3,1.9,1.4,-1.2,0.9,1.8,0.7,1,2.3,0.4,1,2.5,1.4,6.3,2.1,2.8,3.6,1.8,1.2,2.2,0.6,1.7,5.2,3.1,0.6,0,3,5.1,1,5.1
2015,1.6,-0.5,0.9,1.5,4.1,3.6,0.6,2,2.5,3.1,2.6,1.7,1.9,2.3,1.7,0.8,0.2,1.1,1.7,0.4,1.5,2,1.4,2.4,0.7,1.3,3.5,2.1,2.8,0.8,1.8,0.7,1.4,2.7,-2.1,1.8,1.3,4.1,1.7,1.1,1.9,1.8,2,3.8,3.3,0.2,1.4,2.9,0.1,1.8,0.4
2016,0.7,-2,3.2,0.6,3,2.4,0,-4.2,2,3.3,3.5,2.2,3.9,0.4,1.6,-0.3,2.6,0.7,-1.8,2.2,3.4,1.7,2.2,1.9,0.4,-0.4,-1.4,0.4,2.9,1.8,0.9,0.1,1.3,1.2,-7,0.8,-3,4.7,1.3,0,2.9,0.5,2.1,0.2,4,1.6,0.4,3.5,-1.2,1.2,-4.2
2017,1.2,0,3.5,0.7,4.4,4,0.4,-0.6,1.2,3.4,3.7,2.3,3.5,0.9,1.9,-0.3,1,1.1,1.4,2.2,0.9,2.5,1.5,1.9,0.9,1,1.7,2.1,3.2,1.8,0.7,0.1,2.1,2.1,0,1.6,0.8,3.8,0.6,-0.2,3.3,-0.1,1.9,2.9,3.9,0.1,1.8,5.2,1.5,1.3,-0.1
2018,2.8,0.7,4.1,1.7,4.3,3.5,0.5,0,2.5,3.2,2.4,2.4,4,2.1,2,2.2,2.1,1.4,2.6,2.2,2.5,3.1,2.5,2.6,1.3,2.4,2.6,0.9,4.2,2.3,2.2,2.5,1.2,2.4,3.6,1.9,2.6,3.8,2.6,1.2,2.6,1.9,3.1,4,3.7,1.2,2.6,5.8,2.3,2.4,0.1
2019,2.3,2.5,3.1,1.8,2.6,3.5,1.6,0.8,1.6,2.8,2,1,2.8,1.6,0.8,0.9,0.9,1.1,1.3,1.9,1.5,2.5,0.7,1.4,1.3,2.1,2.1,0.6,2.9,2.7,1.5,3.7,1.8,2.3,2.3,1.7,2.4,2.7,2.3,2.7,3,0.7,2.2,4.4,3.8,2.5,1.9,3.8,1,1.4,3.3
