,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States ,2.6,1.4,2.1,1.9,2.2,2.4,1.6,2.4,2.9,2.3
New England ,3.4,0.9,1.1,1.1,1.6,1.3,1.2,1.6,2.2,2.3
Connecticut ,3.1,-0.9,0.3,1,0.6,0.6,0,0.4,0.5,1.6
Maine ,2.1,-0.9,-0.1,0.5,0.2,0.4,2.2,2.2,2.2,1.9
Massachusetts ,4.2,2.3,1.7,1.2,2.3,2,1.7,2.5,3.1,2.5
New Hampshire ,1.3,0.9,1.4,1.4,2.3,0.8,1.8,1.8,2.3,2.7
Rhode Island ,2.8,-0.3,0.8,1.9,1.2,1.1,0,-0.2,1.2,2.7
Vermont ,3.2,2.8,0.4,-0.3,0.6,0.2,1.6,0.1,1.2,2.5
Mideast ,3.8,0.9,2,1,1.7,1.6,1.3,1.3,1.8,1.8
Delaware ,1.3,1.2,-3,0.7,1.2,2,-4.2,-0.6,0,0.8
District of Columbia ,3.5,1.9,0,-0.6,1.6,2.5,2,1.2,2.5,1.6
Maryland,2.9,1.3,0.4,0.7,0.8,1.5,3.4,0.9,2.5,1.5
New Jersey ,2.5,-0.8,2.5,0.8,0.4,1.8,0.9,0.7,2.2,1.5
New York ,5.1,1.3,3.1,1,2.5,1.4,1.3,2.1,1.2,1.8
Pennsylvania ,3,1.1,0.7,1.5,1.8,1.7,1.3,0.6,2.6,2.3
Great Lakes ,2.6,1.9,1.4,1.7,1.4,1.9,1.1,1.4,2.2,1.3
Illinois ,1.9,1.8,1.8,0.2,1.2,2.3,0.4,0.9,2.1,1.6
Indiana ,4.6,0.2,0.5,2.2,0.4,1.7,1.6,1.9,2,0.8
Michigan ,2.9,2,1.6,2.8,1.9,1.4,2.2,1.5,2.5,0.7
Ohio ,2.1,2.9,1.6,2.1,2.1,1.8,0.8,1.6,1.9,1.7
Wisconsin ,2.5,2,1.1,2.2,1,1.8,1.2,1.3,2.4,1.4
Plains,2.5,2.1,2,1.8,1.3,1.3,0.5,1.1,2.3,1.4
Iowa ,3.1,2.3,3.4,2.2,0.4,0.8,-0.3,-0.3,2.2,0.9
Kansas ,2.1,3.6,0.4,-0.3,1.8,0.2,2.6,1,2.1,0.9
Minnesota ,3.2,2.1,1.2,2.1,1.4,2.4,1.9,1.9,2.6,1.4
Missouri ,1.4,-1,0.9,1.8,0.9,1.3,-0.4,1,2.4,2.1
Nebraska ,1.9,3.8,1,3.9,0.7,2.1,0.4,2.1,0.9,0.6
North Dakota,7.1,9.6,19.5,0.9,6.3,-2.1,-7,0,3.6,2.3
South Dakota,2.2,5,-0.9,0.9,0.6,1.8,0.5,-0.1,1.9,0.7
Southeast ,2.3,0.6,1.2,1.5,1.7,2.2,1.7,2.4,2.6,2.2
Alabama,2,1.2,0.6,2.5,0.7,1.6,0.7,1.2,2.8,2.3
Arkansas,2.3,2.4,0.8,1.9,0.8,1.5,0.6,0.7,1.7,1.8
Florida ,1.4,-0.6,1.7,2.5,2.7,3.1,3.3,3.4,3.2,2.8
Georgia ,1.4,1.4,0.9,2,2.3,2.6,3.5,3.7,2.4,2
Kentucky ,3.2,1.9,1,1.2,1,1.1,0.7,1.1,1.4,1.1
Louisiana,2.6,-3.4,1.9,-2.5,1.9,1.7,-1.8,1.4,2.6,1.3
Mississippi ,1.1,-0.3,3.4,-1.1,-1.2,0.7,0.4,0.9,1.3,1.3
North Carolina,3.4,0.9,0.1,2.7,1.4,2.7,1.2,2.1,2.4,2.3
South Carolina ,2.6,2.2,0.4,1.4,2.2,1.9,2.9,3.3,2.6,3
Tennessee ,3.5,2.6,3.5,1.6,1.7,2,2.1,1.9,3.1,2.2
Virginia ,2.6,0.6,0.7,0.4,0,1.4,0.4,1.8,2.6,1.9
West Virginia ,4,2.2,-3.4,1.3,5.1,0.1,-1.2,1.5,2.3,1
Southwest ,2.3,3.2,5.1,4.3,4.3,3.1,0.4,2.7,3.9,4
Arizona ,0.7,1.7,2,0.8,1.4,0.9,3.2,3.5,4.1,3.1
New Mexico ,1.7,0.1,0.6,1,1,0.7,0.1,0.1,2.5,3.7
Oklahoma ,1,2.6,3.5,1.8,2.8,1.3,-3,0.8,2.6,2.4
Texas ,2.8,3.7,6.2,5.5,5.2,3.8,0.2,2.9,4,4.4
Rocky Mountain ,1.4,1.4,1,2.3,3.9,3.1,2.3,3.5,3.3,3.4
Colorado ,1.4,1,2.1,2.1,4.7,3.6,2.4,4,3.5,3.5
Idaho ,2,-0.2,-0.1,2.6,2.7,1.9,3.9,3.5,4,2.8
Montana ,1.1,3.4,2,1,1.8,3.5,-1.4,1.7,2.6,2.1
Utah,1.7,2.7,0.7,3.7,3.1,3.3,4,3.9,3.7,3.8
Wyoming ,-0.3,0.2,-5,0.5,5.1,0.4,-4.2,-0.1,0.1,3.3
Far West ,1.8,1.4,2.2,1.9,2.7,3.8,3,4.3,4.3,2.7
Alaska,1.9,2.6,3.3,-4,-1.3,-0.5,-2,0,0.7,2.5
California ,1.8,1.2,2.5,2.3,2.8,4.1,3,4.4,4.3,2.6
Hawaii ,1.2,1.6,1.5,1.4,0.8,1.7,2.2,2.3,2.4,1
Nevada ,-0.2,0.6,-0.2,0.7,1,2.8,2.9,3.2,4.2,2.9
Oregon ,3.4,4.4,-0.2,-1,3.6,4.1,4.7,3.8,3.8,2.7
Washington ,1.6,0.7,2.7,2.3,3,2.9,3.5,5.2,5.8,3.8
