State federal district or territory,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2010,1.87,2.35,2.07,2,1.95,1.92,1.72,1.94,1.65,1.83,1.96,2.15,2.24,1.88,1.97,2.01,2.16,1.97,1.95,1.7,1.89,1.67,1.85,1.96,1.96,1.94,1.99,2.14,1.96,1.67,1.9,2.06,1.81,1.91,2.04,1.9,2.11,1.79,1.81,1.63,1.88,2.27,1.88,2.16,2.45,1.66,1.88,1.91,1.83,1.89,2.04
2011,1.84,2.28,2,2,1.9,1.85,1.71,1.9,1.64,1.8,1.93,2.11,2.15,1.84,1.95,1.97,2.09,1.94,1.91,1.67,1.85,1.67,1.84,1.95,1.94,1.92,1.96,2.11,1.91,1.67,1.88,2,1.79,1.86,2.08,1.88,2.04,1.76,1.8,1.6,1.84,2.25,1.87,2.07,2.38,1.63,1.85,1.89,1.84,1.87,1.98
2012,1.81,2.19,2,1.97,1.89,1.83,1.66,1.85,1.61,1.77,1.88,2.1,2.19,1.82,1.93,1.99,2.12,1.95,1.92,1.68,1.83,1.63,1.82,1.94,1.89,1.89,1.96,2.12,1.87,1.61,1.85,1.98,1.77,1.84,2.12,1.89,2.04,1.74,1.78,1.59,1.82,2.27,1.87,2.08,2.37,1.61,1.84,1.88,1.85,1.86,1.99
2013,1.79,2.22,1.97,1.94,1.84,1.79,1.63,1.79,1.53,1.77,1.86,2.08,2.13,1.79,1.92,2,2.04,1.95,1.93,1.67,1.79,1.6,1.83,1.94,1.88,1.88,1.97,2.12,1.86,1.6,1.81,1.93,1.73,1.82,2.14,1.88,2.04,1.73,1.75,1.57,1.8,2.27,1.85,2.07,2.34,1.59,1.81,1.84,1.86,1.84,1.99
2014,1.83,2.19,1.97,1.97,1.84,1.77,1.63,1.79,1.52,1.77,1.87,2,2.15,1.81,1.93,2.02,2.05,1.96,1.96,1.66,1.82,1.58,1.83,1.94,1.89,1.87,1.95,2.16,1.87,1.58,1.81,1.91,1.73,1.83,2.24,1.88,2.03,1.72,1.76,1.56,1.8,2.27,1.87,2.09,2.33,1.63,1.81,1.85,1.81,1.85,1.99
2015,1.83,2.17,1.92,1.98,1.79,1.75,1.61,1.81,1.48,1.77,1.85,1.97,2.13,1.81,1.93,2.01,2.05,1.95,1.96,1.64,1.8,1.55,1.81,1.93,1.87,1.86,1.96,2.15,1.86,1.59,1.8,1.9,1.71,1.82,2.16,1.87,2,1.7,1.74,1.58,1.79,2.27,1.85,2.07,2.29,1.58,1.8,1.82,1.78,1.85,2.01
2016,1.82,2.14,1.87,1.95,1.77,1.71,1.63,1.78,1.49,1.75,1.82,1.94,2.07,1.78,1.9,1.99,2,1.93,1.93,1.64,1.79,1.54,1.79,1.93,1.87,1.86,1.89,2.14,1.83,1.55,1.79,1.83,1.69,1.79,2.17,1.85,1.98,1.65,1.72,1.54,1.75,2.26,1.82,2.02,2.24,1.54,1.79,1.81,1.74,1.84,1.93
2017,1.82,2.02,1.79,1.91,1.69,1.63,1.59,1.75,1.42,1.71,1.79,1.89,2.01,1.73,1.87,1.94,1.93,1.9,1.88,1.58,1.75,1.51,1.76,1.87,1.85,1.81,1.8,2.06,1.77,1.52,1.76,1.76,1.65,1.77,2.07,1.83,1.9,1.56,1.69,1.51,1.73,2.23,1.8,1.92,2.12,1.52,1.75,1.71,1.73,1.79,1.86
2018,1.79,1.97,1.72,1.88,1.63,1.56,1.57,1.72,1.35,1.67,1.73,1.85,1.9,1.69,1.85,1.9,1.92,1.87,1.86,1.58,1.75,1.45,1.73,1.83,1.84,1.82,1.73,2.03,1.75,1.47,1.78,1.7,1.67,1.73,2.03,1.79,1.88,1.49,1.67,1.49,1.71,2.15,1.78,1.87,2.03,1.44,1.73,1.64,1.71,1.76,1.79
2019,1.81,1.94,1.67,1.86,1.6,1.53,1.54,1.71,1.31,1.66,1.72,1.85,1.92,1.65,1.82,1.9,1.87,1.85,1.86,1.5,1.73,1.45,1.69,1.79,1.85,1.79,1.66,1.97,1.7,1.43,1.77,1.69,1.64,1.71,2,1.78,1.86,1.47,1.65,1.43,1.7,2.08,1.76,1.85,1.99,1.43,1.69,1.6,1.72,1.73,1.8
