Gini Coefficient,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2010,0.47,0.42,0.46,0.46,0.47,0.46,0.49,0.44,0.53,0.47,0.47,0.43,0.43,0.47,0.44,0.43,0.45,0.47,0.48,0.44,0.44,0.48,0.45,0.44,0.47,0.46,0.44,0.43,0.45,0.43,0.46,0.46,0.5,0.46,0.43,0.45,0.45,0.45,0.46,0.47,0.46,0.44,0.47,0.47,0.42,0.44,0.46,0.44,0.45,0.43,0.42
2011,0.47,0.41,0.46,0.47,0.48,0.46,0.49,0.44,0.53,0.48,0.48,0.43,0.43,0.47,0.45,0.43,0.44,0.47,0.48,0.45,0.45,0.48,0.46,0.44,0.47,0.46,0.44,0.45,0.45,0.43,0.47,0.48,0.5,0.47,0.44,0.46,0.46,0.46,0.46,0.47,0.46,0.43,0.48,0.48,0.42,0.43,0.46,0.44,0.47,0.44,0.41
2012,0.47,0.42,0.46,0.46,0.48,0.46,0.49,0.44,0.53,0.48,0.48,0.43,0.43,0.47,0.44,0.43,0.45,0.47,0.49,0.45,0.45,0.48,0.46,0.44,0.49,0.46,0.45,0.43,0.45,0.43,0.47,0.47,0.5,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.43,0.47,0.48,0.42,0.44,0.47,0.45,0.46,0.44,0.42
2013,0.48,0.41,0.47,0.47,0.49,0.46,0.5,0.45,0.53,0.48,0.48,0.44,0.44,0.48,0.46,0.44,0.46,0.47,0.49,0.45,0.46,0.48,0.46,0.45,0.48,0.46,0.46,0.44,0.45,0.44,0.48,0.48,0.51,0.48,0.46,0.47,0.46,0.46,0.47,0.48,0.47,0.44,0.48,0.48,0.43,0.45,0.47,0.46,0.46,0.44,0.42
2014,0.48,0.42,0.47,0.47,0.49,0.46,0.5,0.45,0.52,0.48,0.48,0.43,0.45,0.48,0.45,0.44,0.46,0.47,0.49,0.46,0.45,0.49,0.46,0.45,0.48,0.46,0.45,0.44,0.44,0.44,0.48,0.48,0.51,0.47,0.47,0.46,0.47,0.46,0.47,0.48,0.47,0.45,0.48,0.48,0.43,0.44,0.47,0.45,0.45,0.44,0.43
2015,0.4817,0.4811,0.4322,0.4702,0.4773,0.4876,0.458,0.4916,0.4523,0.5354,0.4872,0.4801,0.4346,0.4525,0.4817,0.4519,0.4393,0.4596,0.4781,0.4909,0.4523,0.4524,0.4848,0.4667,0.4492,0.4759,0.4634,0.4623,0.4473,0.4548,0.4347,0.4832,0.4795,0.5138,0.4776,0.4664,0.4637,0.4702,0.4622,0.4685,0.4732,0.4698,0.4436,0.4789,0.4823,0.4252,0.4452,0.4681,0.4561,0.4581,0.441
2016,0.4824,0.4847,0.4081,0.4713,0.4719,0.4899,0.4586,0.4945,0.4522,0.542,0.4852,0.4813,0.442,0.4503,0.481,0.4527,0.4451,0.455,0.4813,0.499,0.4519,0.4499,0.4786,0.4695,0.4496,0.4828,0.4646,0.4667,0.4477,0.4577,0.4304,0.4813,0.4769,0.5129,0.478,0.4533,0.468,0.4645,0.4583,0.4689,0.4781,0.4735,0.4495,0.479,0.48,0.4263,0.4539,0.4705,0.4591,0.4711,0.4498
2017,0.4768,0.4241,0.4668,0.4725,0.4866,0.4553,0.4943,0.4811,0.5281,0.4859,0.483,0.4455,0.4478,0.4818,0.4497,0.4381,0.4539,0.4784,0.4935,0.4526,0.453,0.4851,0.4671,0.4516,0.479,0.4618,0.4539,0.4391,0.4606,0.4386,0.4794,0.4776,0.5157,0.4763,0.4546,0.4642,0.4658,0.4593,0.4777,0.4722,0.4795,0.4488,0.4822,0.4781,0.4225,0.4525,0.4674,0.4561,0.4686,0.4467,0.4326
2018,0.4859,0.4322,0.4613,0.4845,0.4912,0.4561,0.5014,0.4587,0.5243,0.4887,0.4822,0.445,0.4454,0.4852,0.4511,0.4413,0.4633,0.4787,0.4936,0.4516,0.4543,0.4875,0.4679,0.4536,0.4828,0.4657,0.4535,0.4488,0.469,0.453,0.4836,0.4891,0.513,0.4782,0.4427,0.4667,0.4687,0.4582,0.4747,0.47,0.4762,0.4445,0.4778,0.4822,0.4845,0.4269,0.4473,0.4754,0.4574,0.4742,0.4483
2019,0.4741,0.4376,0.4591,0.475,0.4866,0.4548,0.5024,0.4509,0.5115,0.4808,0.4795,0.4397,0.4337,0.48,0.4584,0.4422,0.45,0.4764,0.4978,0.449,0.4558,0.4803,0.4634,0.4434,0.4896,0.4633,0.4597,0.44,0.471,0.4406,0.4782,0.4768,0.5149,0.4743,0.4558,0.4651,0.4739,0.45,0.4745,0.4628,0.4747,0.436,0.4749,0.4753,0.4268,0.4471,0.469,0.4577,0.4644,0.4391,0.4345
